exch_code,commodity,future_year,future_month,strike_price,trade_date,spread_flag,record_id,trade_price,buy_cti1,sell_cti1,net_cti1,buy_cti2,sell_cti2,net_cti2,buy_cti3,sell_cti3,net_cti3,buy_cti4,sell_cti4,net_cti4,total_cti,bracket,put_call,eof
CBOT,BC,2011,H,0000064,20101221,N,D,30,5,0,5,0,0,0,5,0,5,0,5,-5,15,09d,C,X
CBOT,BC,2011,H,0000064,20101221,N,D,30,0,0,0,0,0,0,0,0,0,0,5,-5,5,10c,C,X
CBOT,BC,2011,H,0000064,20101221,N,D,30,2,0,2,0,0,0,0,0,0,0,2,-2,4,10d,C,X
CBOT,BC,2011,H,0000064,20101221,N,A,30,7,0,7,0,0,0,5,0,5,0,12,-12,24,09d10c10d,C,X
CBOT,BO,2011,F,,20101221,N,D,54800,6,0,6,0,6,-6,0,0,0,0,0,0,12,09c,,X
CBOT,BO,2011,F,,20101221,N,A,54800,6,0,6,0,6,-6,0,0,0,0,0,0,12,09c,,X
CBOT,BO,2011,F,,20101221,Y,D,54810,0,171,-171,270,0,270,0,36,-36,0,63,-63,540,10c,,X
CBOT,BO,2011,F,,20101221,Y,D,54810,0,0,0,0,0,0,0,0,0,0,35,-35,35,11d,,X
CBOT,BO,2011,F,,20101221,Y,D,54810,35,0,35,0,0,0,0,0,0,0,0,0,35,12a,,X
CBOT,BO,2011,F,,20101221,Y,D,54810,0,90,-90,0,0,0,0,0,0,90,0,90,180,13a,,X
CBOT,BO,2011,F,,20101221,Y,A,54810,35,261,-226,270,0,270,0,36,-36,90,98,-8,790,10c11d12a13a,,X
CBOT,BO,2011,F,,20101221,N,D,54860,0,0,0,6,6,0,0,0,0,0,0,0,12,09c,,X
CBOT,BO,2011,F,,20101221,N,A,54860,0,0,0,6,6,0,0,0,0,0,0,0,12,09c,,X
CBOT,BO,2011,F,,20101221,Y,D,54860,35,0,35,0,0,0,0,0,0,0,35,-35,70,10a,,X
CBOT,BO,2011,F,,20101221,Y,A,54860,35,0,35,0,0,0,0,0,0,0,35,-35,70,10a,,X
CBOT,BO,2011,F,,20101221,N,D,54880,8,0,8,0,8,-8,0,0,0,0,0,0,16,09c,,X
CBOT,BO,2011,F,,20101221,N,A,54880,8,0,8,0,8,-8,0,0,0,0,0,0,16,09c,,X
CBOT,BO,2011,F,,20101221,N,D,54930,0,37,-37,49,0,49,0,0,0,0,2,-2,88,09c,,X
CBOT,BO,2011,F,,20101221,N,D,54930,0,10,-10,0,0,0,0,0,0,0,0,0,10,09d,,X
CBOT,BO,2011,F,,20101221,N,D,54930,0,4,-4,4,0,4,0,0,0,0,0,0,8,10a,,X
CBOT,BO,2011,F,,20101221,N,A,54930,0,51,-51,53,0,53,0,0,0,0,2,-2,106,09c09d10a,,X
CBOT,BO,2011,F,,20101221,Y,D,54930,81,0,81,0,90,-90,9,0,9,0,0,0,180,09c,,X
CBOT,BO,2011,F,,20101221,Y,A,54930,81,0,81,0,90,-90,9,0,9,0,0,0,180,09c,,X
CBOT,BO,2011,F,,20101221,Y,D,54980,60,0,60,0,88,-88,10,0,10,18,0,18,176,09c,,X
CBOT,BO,2011,F,,20101221,Y,D,54980,0,150,-150,0,50,-50,0,300,-300,500,0,500,1000,10a,,X
